Particle	Position	Velocity	Acceleration	Density	Pressure	Energy	Total Energy	Total Momentum	Time
187	-0.031250	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
188	-0.028750	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
189	-0.026250	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
190	-0.023750	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
191	-0.021250	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
192	-0.018750	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
193	-0.016250	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
194	-0.013750	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
195	-0.011250	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
196	-0.008750	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
197	-0.006250	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
198	-0.003750	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
199	-0.001250	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
200	0.005000	0.000000	0.000000	0.250000	0.179500	1.795000	1.474375	0.000000	0.000000
201	0.015000	0.000000	0.000000	0.250000	0.179500	1.795000	1.474375	0.000000	0.000000
202	0.025000	0.000000	0.000000	0.250000	0.179500	1.795000	1.474375	0.000000	0.000000
203	0.035000	0.000000	0.000000	0.250000	0.179500	1.795000	1.474375	0.000000	0.000000
204	0.045000	0.000000	0.000000	0.250000	0.179500	1.795000	1.474375	0.000000	0.000000
205	0.055000	0.000000	0.000000	0.250000	0.179500	1.795000	1.474375	0.000000	0.000000
206	0.065000	0.000000	0.000000	0.250000	0.179500	1.795000	1.474375	0.000000	0.000000
207	0.075000	0.000000	0.000000	0.250000	0.179500	1.795000	1.474375	0.000000	0.000000
208	0.085000	0.000000	0.000000	0.250000	0.179500	1.795000	1.474375	0.000000	0.000000
209	0.095000	0.000000	0.000000	0.250000	0.179500	1.795000	1.474375	0.000000	0.000000
210	0.105000	0.000000	0.000000	0.250000	0.179500	1.795000	1.474375	0.000000	0.000000
211	0.115000	0.000000	0.000000	0.250000	0.179500	1.795000	1.474375	0.000000	0.000000
212	0.125000	0.000000	0.000000	0.250000	0.179500	1.795000	1.474375	0.000000	0.000000
213	0.135000	0.000000	0.000000	0.250000	0.179500	1.795000	1.474375	0.000000	0.000000
214	0.145000	0.000000	0.000000	0.250000	0.179500	1.795000	1.474375	0.000000	0.000000
215	0.155000	0.000000	0.000000	0.250000	0.179500	1.795000	1.474375	0.000000	0.000000
216	0.165000	0.000000	0.000000	0.250000	0.179500	1.795000	1.474375	0.000000	0.000000
217	0.175000	0.000000	0.000000	0.250000	0.179500	1.795000	1.474375	0.000000	0.000000
218	0.185000	0.000000	0.000000	0.250000	0.179500	1.795000	1.474375	0.000000	0.000000
219	0.195000	0.000000	0.000000	0.250000	0.179500	1.795000	1.474375	0.000000	0.000000
220	0.205000	0.000000	0.000000	0.250000	0.179500	1.795000	1.474375	0.000000	0.000000
221	0.215000	0.000000	0.000000	0.250000	0.179500	1.795000	1.474375	0.000000	0.000000
222	0.225000	0.000000	0.000000	0.250000	0.179500	1.795000	1.474375	0.000000	0.000000
223	0.235000	0.000000	0.000000	0.250000	0.179500	1.795000	1.474375	0.000000	0.000000
224	0.245000	0.000000	0.000000	0.250000	0.179500	1.795000	1.474375	0.000000	0.000000
225	0.255000	0.000000	0.000000	0.250000	0.179500	1.795000	1.474375	0.000000	0.000000
226	0.265000	0.000000	0.000000	0.250000	0.179500	1.795000	1.474375	0.000000	0.000000
227	0.275000	0.000000	0.000000	0.250000	0.179500	1.795000	1.474375	0.000000	0.000000
228	0.285000	0.000000	0.000000	0.250000	0.179500	1.795000	1.474375	0.000000	0.000000
229	0.295000	0.000000	0.000000	0.250000	0.179500	1.795000	1.474375	0.000000	0.000000
230	0.305000	0.000000	0.000000	0.250000	0.179500	1.795000	1.474375	0.000000	0.000000
231	0.315000	0.000000	0.000000	0.250000	0.179500	1.795000	1.474375	0.000000	0.000000
232	0.325000	0.000000	0.000000	0.250000	0.179500	1.795000	1.474375	0.000000	0.000000
233	0.335000	0.000000	0.000000	0.250000	0.179500	1.795000	1.474375	0.000000	0.000000
234	0.345000	0.000000	0.000000	0.250000	0.179500	1.795000	1.474375	0.000000	0.000000
235	0.355000	0.000000	0.000000	0.250000	0.179500	1.795000	1.474375	0.000000	0.000000
236	0.365000	0.000000	0.000000	0.250000	0.179500	1.795000	1.474375	0.000000	0.000000
237	0.375000	0.000000	0.000000	0.250000	0.179500	1.795000	1.474375	0.000000	0.000000
238	0.385000	0.000000	0.000000	0.250000	0.179500	1.795000	1.474375	0.000000	0.000000
239	0.395000	0.000000	0.000000	0.250000	0.179500	1.795000	1.474375	0.000000	0.000000
240	0.405000	0.000000	0.000000	0.250000	0.179500	1.795000	1.474375	0.000000	0.000000
241	0.415000	0.000000	0.000000	0.250000	0.179500	1.795000	1.474375	0.000000	0.000000
242	0.425000	0.000000	0.000000	0.250000	0.179500	1.795000	1.474375	0.000000	0.000000
243	0.435000	0.000000	0.000000	0.250000	0.179500	1.795000	1.474375	0.000000	0.000000
244	0.445000	0.000000	0.000000	0.250000	0.179500	1.795000	1.474375	0.000000	0.000000
245	0.455000	0.000000	0.000000	0.250000	0.179500	1.795000	1.474375	0.000000	0.000000
246	0.465000	0.000000	0.000000	0.250000	0.179500	1.795000	1.474375	0.000000	0.000000
247	0.475000	0.000000	0.000000	0.250000	0.179500	1.795000	1.474375	0.000000	0.000000
248	0.485000	0.000000	0.000000	0.250000	0.179500	1.795000	1.474375	0.000000	0.000000
249	0.495000	0.000000	0.000000	0.250000	0.179500	1.795000	1.474375	0.000000	0.000000
0	-0.498750	0.000110	0.106505	1.001758	1.001758	2.500000	1.474393	0.000419	0.000500
1	-0.496250	0.000073	0.264852	1.001771	1.001771	2.500004	1.474393	0.000419	0.000500
